"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"06/20/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/21/2013","AQS","190170011","1","0.049","ppm","45","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/22/2013","AQS","190170011","1","0.045","ppm","42","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/23/2013","AQS","190170011","1","0.042","ppm","39","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/24/2013","AQS","190170011","1","0.034","ppm","31","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/25/2013","AQS","190170011","1","0.036","ppm","33","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/26/2013","AQS","190170011","1","0.038","ppm","35","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/27/2013","AQS","190170011","1","0.042","ppm","39","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/28/2013","AQS","190170011","1","0.035","ppm","32","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/29/2013","AQS","190170011","1","0.028","ppm","26","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
