"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/04/2011","AQS","191530030","1","13.4","ppb","12","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/05/2011","AQS","191530030","1","14.8","ppb","13","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/06/2011","AQS","191530030","1","17.7","ppb","16","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/07/2011","AQS","191530030","1","19.7","ppb","18","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/08/2011","AQS","191530030","1","6.6","ppb","6","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/09/2011","AQS","191530030","1","8.1","ppb","8","CARPENTER","22","92.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/10/2011","AQS","191530030","1","13.8","ppb","12","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/11/2011","AQS","191530030","1","16.3","ppb","15","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/12/2011","AQS","191530030","1","16.9","ppb","15","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/13/2011","AQS","191530030","1","7.8","ppb","7","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/14/2011","AQS","191530030","1","3.7","ppb","3","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/15/2011","AQS","191530030","1","12","ppb","11","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/16/2011","AQS","191530030","1","33.5","ppb","31","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/17/2011","AQS","191530030","1","41.8","ppb","39","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/18/2011","AQS","191530030","1","33.9","ppb","31","CARPENTER","22","92.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/19/2011","AQS","191530030","1","9.9","ppb","8","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/20/2011","AQS","191530030","1","16.7","ppb","15","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/21/2011","AQS","191530030","1","7.9","ppb","7","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/22/2011","AQS","191530030","1","5.4","ppb","5","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/23/2011","AQS","191530030","1","19.3","ppb","18","CARPENTER","22","92.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/24/2011","AQS","191530030","1","19.4","ppb","18","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/25/2011","AQS","191530030","1","8.5","ppb","8","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/26/2011","AQS","191530030","1","30","ppb","28","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/27/2011","AQS","191530030","1","23.7","ppb","22","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/28/2011","AQS","191530030","1","17.1","ppb","16","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/29/2011","AQS","191530030","1","11.3","ppb","10","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/30/2011","AQS","191530030","1","3.2","ppb","3","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"05/31/2011","AQS","191530030","1","15.2","ppb","14","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/01/2011","AQS","191530030","1","14.1","ppb","13","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/02/2011","AQS","191530030","1","12.1","ppb","11","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/03/2011","AQS","191530030","1","12","ppb","11","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/04/2011","AQS","191530030","1","41.2","ppb","39","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/05/2011","AQS","191530030","1","32.2","ppb","30","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/06/2011","AQS","191530030","1","11","ppb","10","CARPENTER","22","92.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/10/2011","AQS","191530030","1","15.2","ppb","14","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/11/2011","AQS","191530030","1","12.4","ppb","11","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/12/2011","AQS","191530030","1","16.7","ppb","15","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/13/2011","AQS","191530030","1","10.1","ppb","9","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"06/14/2011","AQS","191530030","1","11.2","ppb","10","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
